"date","day","month","year","text","nmonth","leagues","Course"
1492-09-11,"11","SEPTEMBER","1492","That day they sailed on their way, which was to the west, and went 20 leagues and more, and they saw a large piece of a mast belonging to a ship of 120 tons burden, and they were not able to take it. That night--about 20 leagues, but he did not count more than 16 for the said reason.","09","40","W"
1492-09-12,"12","SEPTEMBER","1492","This day, pursuing his course, they went 33 leagues during the night and day, computing less for the said reason.","09","33",NA
1492-09-13,"13","SEPTEMBER","1492","This day and night, going on their way which was to the west, they went 33 leagues and computed 3 or 4 less. The currents were against them. On this day at the beginning of the night, the needles declined to the north-west, and in the morning they declined a trifle.","09","33","W"
1492-09-14,"14","SEPTEMBER","1492","During that day and night they sailed on their way to the west and went 20 leagues: he computed something less. Here the persons on the caravel Nina said they had seen a jay (garjao) and a ring-tail (rabo de junco) and these birds never go more than 25 leagues from land at most.","09","20",NA
1492-09-15,"15","SEPTEMBER","1492","He sailed that day and night 27 leagues upon his course to the west and somewhat more, and at the beginning of this night they saw a marvellous branch of fire fall from the heavens into the sea, 4 or 5 leagues distant from them.","09","27","W"
1492-09-16,"16","SEPTEMBER","1492","They sailed that day and night on their course to the west: they went 39 leagues but be computed only 36: there were some clouds that day and it rained slightly. The Admiral says here, that now and always from this time forward the air was extremely temperate, and that it was a great pleasure to enjoy the mornings and that nothing was lacking except to hear nightingales. He says that the weather was like April in Andalusia. Here they began to see many tufts of very green grass, which according to appearance had not long been detached from the land, on which account every one judged they were near some island: but not the continental land, according to the Admiral, who says, """"because I make the continental land farther onward.""""","09","39","W"
1492-09-17,"17","SEPTEMBER","1492","He sailed on his way to the west, and they went 50 leagues and more during the day and night. He did not register more than 47. The current helped them. They frequently saw a great deal of grass and it was grass from rocks, and it came from the west. They judged that they were near land. The pilots took the position of the North Star, marking it, and they found that the needles declined to the north-west a good quarter, and the sailors were afraid and were troubled, and did not say for what reason. The Admiral knew it and ordered them to take the position of the North Star again at dawn and they found that the needles were good. This was because the star which appears, moves, and the needles do not. At dawn that Monday they saw much more grass, which appeared to be grass from rivers, in which they found a live craw-fish which the Admiral kept, and he says that those were sure indications of land because they are not found 80 leagues from land. They found the water of the sea less salt since they left the Canaries, the breezes always milder. They all became very joyful and the fastest ships went onward in order to be first to see land. They saw many tunny-fish {toninas} and the people on the Nina killed one. The Admiral Says here that those indications came from the west, """"where I hope in that exalted God in whose hands are all victories that land will very soon appear."""" This morning he says he saw a white bird which is called ring-tail {rabo de junco} which is not accustomed to sleep on the sea.","09","50","W"
1492-09-18,"18","SEPTEMBER","1492","He sailed that day and night, and they went more than 55 leagues, but he only noted 48. All these days the sea was very calm, as in the River of Seville. This day Martin Alonso with the Pinta, which was a fast sailor, did not wait for the others because he said to the Admiral from his caravel, that he had seen a great number of birds go toward the west, and that night he hoped to see land, and for that reason he was sailing so fast. A large dark cloud appeared to the north, which is a sign that land is near.","09","55",NA
1492-09-19,"19","SEPTEMBER","1492","He sailed on his way and during the day and night went 25 leagues, because it was very calm: he wrote 22 leagues. This day at 10 o'clock a pelican came to the ship and another came in the afternoon. These birds are not accustomed to go 20 leagues from land. There were slight rains without wind, which is a certain indication of land. The Admiral did not wish to delay, beating about in order to find out if there was land, but he was sure that toward the north and toward the south there were Some islands, as in fact there were, and he was going between them: because it was his desire to go forward toward the Indies and the weather is pleasant; as, God pleasing, in returning, everything would be Seen. These are his words...Here the pilots discovered their location. The Nina's pilot found himself 440 leagues from the Canaries. The Pinta's 420 leagues, and the pilot of the vessel, upon which was the Admiral, exactly 400.","09","25",NA
1492-09-20,"20","SEPTEMBER","1492","He sailed this day to the west, quarter north-west and half the quarter {a la media partida} because the winds changed many times with the calm they went as much as 7 or 8 leagues. Two pelicans came to the ship, and afterwards another which was an indication that land was near: and they saw a great deal of grass, although the previous day they had not seen any. They took a bird with their hands which was like a jay: it was a river-bird and not a sea-bird and had feet like a gull. At dawn two or three small land birds came singing to the ships: and afterwards disappeared before sunrise. Afterwards a pelican came from the west-north-west and went to the south-east, which was an indication that it left land to the west-north-west, because these birds sleep on land and in the morning they go to the sea in search of food, and do not go 20 leagues from land.","09","8","W by N, WNW"
1492-09-21,"21","SEPTEMBER","1492","Most of that day it was calm, and afterwards there was some wind. They went on their way and during both the day and night did not make as much as 13 leagues. At dawn they found so much grass that the sea appeared to be coagulated with it and it came from the west. They saw a pelican. The sea was very calm like a river and the breezes the best in the world. They saw a whale which is an indication that they were near land, because they always remain near it.","09","13",NA
1492-09-22,"22","SEPTEMBER","1492","They sailed west-north-west, more or less, inclining to one side and the other. They went about 30 leagues. They saw almost no grass. They saw some petrels {pardelas} and another bird. The Admiral says here: """"This contrary wind was very necessary to me, because my people were becoming very much excited, as they thought that on those seas no winds blew in order to return to Spain."""" For a part of the day there was no grass, afterwards it was very thick.","09","30","WNW"
1492-09-23,"23","SEPTEMBER","1492","He sailed to the north-west and at times to the north quarter and at times on his course, which was to the west, and they went as much as 22 leagues. They saw a turtle dove and a pelican, and another small river-bird and other white birds. There was a great deal of grass and they found craw-fish in it, and as the sea was calm and quiet the people murmured, saying that, since there was not much sea in that region, the wind would never blow for the return to Spain: but afterwards the sea rose greatly and without wind, which terrified them, because of which the Admiral says here: """"So that the high sea was very necessary to me, as it came to pass once before in the time when the Jews went out of Egypt with Moses, who took them from captivity.""""","09","27","NW"
1492-09-24,"24","SEPTEMBER","1492","He sailed on his course to the west day and night, and they went about 14 1/2 leagues. He noted 12. A pelican came to the ship and they saw many petrels.","09","14.5","W"
1492-09-25,"25","SEPTEMBER","1492","It was very calm this day and afterwards the wind blew: and they went on their course to the west until night. The Admiral talked with Martin Alonso Pinzon, Captain of the other caravel Pinta, in regard to a chart which he had sent to Martin Alonso on his caravel three days before, where, as it appears, the Admiral had drawn certain islands in that sea, and Martin Alonso said that they were in that region, and the Admiral replied that it appeared so to him: but since they had not encountered them, it must have been caused by the currents which had continually forced the ships to the north-east and because they had not gone as far as the pilots said: and then having arrived at this conclusion the Admiral told Martin Alonso to send him the said chart and it being sent by a cord the Admiral began to mark out places upon it with his pilot and sailors. At sunset Martin Alonso mounted in the stern of his ship and with great joy called to the Admiral, begging a reward from him as he saw land: and when the Admiral heard him affirm this, he says that he commenced on his knees to give thanks to Our Lord, and Martin Alonso said Gloria in Excelsis Deo with his people: the Admiral's people did the same and the people on the Nina all ascended the mast and rigging: and all affirmed that it was land and it appeared so to the Admiral, and that it might be 25 leagues away. They all affirmed until night that it was land. The Admiral ordered that the course, which was to the west, should be changed and that they should all go to the south-west, where the land had appeared. That day they went to the west about 4 1/2 leagues; and during the night 17 leagues to the south-east which makes 21 leagues; although he told the people 13 leagues, because he always pretended to the people that he was making little headway, that the journey might not appear long to them. So that he wrote two courses for that voyage, the shorter was the false course and the longer the true one. The sea was very calm for which reason many sailors began to swim. They saw many dorados and other fish.","09","21","SW by W"
1492-09-26,"26","SEPTEMBER","1492","He sailed on his course to the west, until after mid-day. Then they went to the south-west until they learned that what they had said was land was only the sky. They went 31 leagues during the day and night and he computed for the people 24. The sea was like a river, the breezes pleasant and very mild.","09","31","W"
1492-09-27,"27","SEPTEMBER","1492","He sailed on his course to the west, and went during the day and night 24 leagues: he told the people 20 leagues: they saw many dorados, killed one and saw a ring-tail.","09","24","W"
1492-09-28,"28","SEPTEMBER","1492","He sailed on his course to the west. They went in a calm, 14 leagues during the day and night. He computed 13. They found little grass. They took two dorados and more were taken on the other ships.","09","14","W"
1492-09-29,"29","SEPTEMBER","1492","He sailed on his course to the west. They went 24 leagues and he told the people 21. Because of calms which befell them they went only a short distance during the day and night. They saw a bird which is called a frigate-pelican which makes the pelicans yield up what they have eaten in order to eat it himself, and obtains his sustenance in that manner only. It is a sea-bird but does not rest on the sea nor go 20 leagues from land. There are many of these birds on the Cape Verde Islands. Afterwards they saw two pelicans. The breezes were very pleasing and delightful and he says that only the song of the nightingale was lacking: and the sea was smooth as a river. In three times afterwards three pelicans appeared and a frigate-pelican. They saw a great deal of grass.","09","24","W"
1492-09-30,"30","SEPTEMBER","1492","He sailed on his course to the west, and went 14 leagues during the day and night on account of the calms. He counted 11. Four ring-tails came to the ship, which is a great indication of land, because so many birds of one kind together is a sign that they are not astray or lost. They saw four pelicans in two different times and much grass. Nota: that """"the stars which are called the guards when night falls are near the arm in the west, and at dawn they are on the line below the arm to the north-east, as it appears that during all the night they do not go more than three lines, which are nine hours, and this each night."""" The Admiral says this here. Also at nightfall the needles decline to the north-west one quarter, and at dawn they are exactly in the direction of the North Star: by which it appears that the North Star moves the same as the other stars and the needles always indicate the truth.","09","14","W"
1492-10-01,"1","OCTOBER","1492","He sailed on his course to the west. They went 25 leagues and he computed to the people 20 leagues. They had a great shower. To-day the pilot of the Admiral at the coming of day feared that they had gone from the island of Hierro, 578 leagues westward to this place. The lesser account which the Admiral showed to the people was 584 leagues; but the true account, which the Admiral judged to be correct and kept secret, was 707 leagues.","10","25","W"
1492-10-02,"2","OCTOBER","1492","He sailed on his way to the west 39 leagues during the day and night, and told the people about 30 leagues; with the sea continually calm and favourable. Many thanks be given God, said the Admiral here. Grass came from the east to the west, contrary to what had happened before. Many fish appeared: one was killed. They saw a white bird which appeared to be a gull.","10","39","W"
1492-10-03,"3","OCTOBER","1492","He sailed on his customary route and they went 47 leagues. He told the people 40 leagues. Petrels appeared, a great quantity of grass, some very old and some very fresh, and it bore a kind of fruit, and they saw 110 birds. The Admiral believed that the islands he had drawn on his chart lay back of them. The Admiral says here, that he did not wish to remain beating about, the past week and those days when there were so many signs of land, although he had information about certain islands in that region,--in order not to be delayed, as his object was to reach the Indies: and if he had delayed, he says it would not have been good judgment.","10","47",NA
1492-10-04,"4","OCTOBER","1492","He sailed on his way to the west and they went during the day and night 63 leagues. He told the people 46 leagues. More than 40 petrels came to the ship together, and two pelicans, and a youth on board the caravel hit one with a stone. A frigate-pelican came to the vessel and a white bird like a gull.","10","63","W"
1492-10-05,"5","OCTOBER","1492","He sailed on his course, going about 11 miles an hour. They went about 57 leagues during the day and night, as the wind abated somewhat at night. He counted to his people 45 leagues. The sea was pleasant and calm. Many thanks, he says, be given to God. The breeze was very soft and temperate. No grass, many petrels. Many flying-fish flew on to the ship.","10","57",NA
1492-10-06,"6","OCTOBER","1492","He sailed on his course to the west and they went 40 leagues during the day and night. He told the people 33 leagues. This night, Martin Alonso said that it would be well to sail to the south-west, quarter west {a la cuarta del Oueste, a la parte del Sudueste}. And it appeared to the Admiral that Martin Alonso did not say this in order to go to the island of Cipango. And the Admiral saw that if they missed their way, they would not be able to find land so quickly, and that it was better to go to the continental land at once, and afterwards to the islands.","10","40","W"
1492-10-07,"7","OCTOBER","1492","He sailed on his way to the west. They went 12 miles per hour for two hours, and afterwards 8 miles per hour, and they went 23 leagues up to one hour after sunrise: he told the people 18. On this day at sunrise, as they were all sailing as fast as possible in order to see land first and enjoy the reward which the Sovereigns had promised to whomever should first see land, the caravel Nina which was ahead on account of being a fast sailor, raised a banner on top of the mast and fired a lombard as a signal that they saw land, because the Admiral had ordered this to be done. He had also ordered that the vessels should all unite at sunrise and sunset, because these two times are more suitable for seeing a long distance on account of the disappearance of the mists. As in the afternoon the people on the Nina did not see land, which they thought they had seen and as a great multitude of birds passed from the north to the south-west, for which cause it was reasonable to believe that they were going to sleep on land or were perhaps flying from winter which must be approaching in the countries from whence they came, as the Admiral knew that the Portuguese discovered the greater part of the islands in their possession by the birds:--For these reasons the Admiral resolved to change his course from the west, and turn his prow to the west-south-west, with the determination of pursuing that course for two days. He began this course one hour before sunset. During all the night they went about 5 leagues, and 23 during the day: they went in all 28 leagues during the night and day.","10","28","W"
1492-10-08,"8","OCTOBER","1492","He sailed to the west-south-west and they went about 11 1/2 or 12 leagues and from time to time it appears that they went 15 miles per hour during the night, if the account is not mendacious. The sea was like the River of Seville, thanks to God, says the Admiral. The breezes were very soft as at Seville in April and it is a pleasure to be there, they are so fragrant. The grass appeared very fresh. There were many small land-birds and they took one which was flying to the south-west. There were jays, ducks, and a pelican.","10","12","WSW"
1492-10-09,"9","OCTOBER","1492","He sailed to the south-west and went five leagues. The wind changed and he ran to the west, quarter north-west and went four leagues. Afterwards in all he went 11 leagues by day and 20 1/2 leagues by day and night. He told the people 17 leagues. All night they heard birds passing.","10","31.5","W by S"
1492-10-10,"10","OCTOBER","1492","He sailed to the west-south-west and they went at the rate of 10 miles per hour and at times 12, and sometimes 7, and during the day and night they made 59 leagues. He told the people 44 leagues and no more. Here the people could no longer suffer the journey. They complained of the long voyage: but the Admiral encouraged them as well as he was able, giving them good hope of the benefits they would receive, and adding that for the rest it was useless to complain since he had come in search of the Indies, and thus he must pursue his journey until he found them, with the aid of our Lord.","10","59","WSW"
1492-10-11,"11","OCTOBER","1492","He sailed to the west-south-west. They had a much higher sea than they had had in all the voyage. They saw petrels and a green branch near the ship. Those on the caravel Pinta saw a reed and a stick and they took another small stick formed as it appeared with iron, and a piece of a reed and other grass which grows on land, and a small board. Those on the caravel Nina also saw other indications of land and a little branch full of dog-roses. With these signs every one breathed and rejoiced. They went 27 leagues during this day up to sunset. After sunset he sailed on his first course to the west. They went 12 miles each hour and up to two hours after midnight they went about 90 miles which are 22 1/2 leagues. And because the caravel Pinta was the best sailor and was going ahead of the Admiral, land was discovered by her people and the signs which the Admiral had ordered were made. A sailor called Rodrigo de Traina saw this land first, although the Admiral at 10 o'clock at night being in the stern forecastle {castillo de popa} saw a light, but it was so concealed that he would not declare it to be land: but he called Pero Gutierrez Groom of the Chamber of the King, and said to him that it appeared to be a light, and asked him to look at it: and he did so and saw it. He also told Rodrigo Sanchez de Segovia, whom the King and Queen sent with the fleet as Inspector, who saw nothing because he was not where he could see it. After the Admiral told it, it was seen once or twice, and it was like a small wax candle which rose and fell, which hardly appeared to be an indication of land. But the Admiral was certain that they were near land. For this reason, when they said the Salve which all the sailors are in the habit of saying and singing in their way and they were all assembled together, the Admiral implored and admonished them to guard the stern forecastle well and search diligently for land and said that to whomever should first see land he would then give a silk doublet, besides the other gifts which the Sovereigns had promised them, which was an annuity of 10,000 maravedis to whomever should first see land. At two hours after midnight the land appeared, from which they were about two leagues distant. They lowered all the sails and remained with the cross-jack-sail, which is the great sail without bonnets, and lay to, standing off and on until the day, Friday, when they reached a small island of the Lucayas, which is called in the language of the Indians, Guanahani. Then they saw naked people and the Admiral landed in the armed boat with Martin Alonso Pinzon and Vincente Yafiez, his brother, who was captain of the Nina. The Admiral took the royal banner and the two captains had two banners of the Green Cross, which the Admiral carried on all the ships as a sign, with an F. and a Y. The crown of the Sovereigns surmounted each letter and one was one side of the + and the other the other side. Having landed they saw very green trees and much water and many fruits of different kinds. The Admiral called the two captains and the others who landed and Rodrigo Descoredo, Notary of all the Fleet, and Rodrigo Sanchez of Segovia, and told them to hear him witness and testify that he, in the presence of them all, was taking, as in fact he took possession of the said isle, for the King and for the Queen, his Lords, making the protestations which were required, as contained more at length in the depositions which were made there in writing. Then many of the people of the island gathered there. The following is in the exact words of the Admiral in his book of his first voyage and discovery of these Indies: """"That they might feel great friendship for us {he says} and because I knew they were a people who would better be freed and converted to our Holy Faith by love than by force,--I gave them some red caps and some glass beads which they placed around their necks, and many other things of small value with which they were greatly pleased, and were so friendly to us that it was wonderful. They afterwards came swimming to the two ships where we were, and bringing us parrots and cotton thread wound in balls and spears and many other things, and they traded them with us for other things which we gave them, such as small glass beads and hawk's bells. Finally they took everything and willingly gave what things they had. Further, it appeared to me that they were a very poor people, in everything. They all go naked as their mothers gave them birth, and the women also, although I only saw one of the latter who was very young, and all those whom I saw were young men, none more than thirty years of age. They were very well built with very handsome bodies, and very good faces. Their hair was almost as coarse as horses' tails and short, and they wear it over the eyebrows, except a small quantity behind, which they wear long and never cut. Some paint themselves blackish, and they are of the colour of the inhabitants of the Canaries, neither black nor white, and some paint themselves white, some red, some whatever colour they find: and some paint their faces, some all the body, some only the eyes, and some only the nose. They do not carry arms nor know what they are, because I showed them swords and they took them by the edge and ignorantly cut themselves. They have no iron: their spears are sticks without iron, and some of them have a fish's tooth at the end and others have other things. They are all generally of good height, of pleasing appearance and well built: I saw some who had indications of wounds on their bodies, and I asked them by signs if it was that, and they showed me that other people came there from other islands near by and wished to capture them and they defended themselves: and I believed and believe, that they come here from the continental land to take them captive. They must be good servants and intelligent, as I see that they very quickly say all that is said to them, and I believe that they would easily become Christians, as it appeared to me that they had no sect. If it please our Lord, at the time of my departure, I will take six, of them from here to your Highnesses that they may learn to speak. I saw no beast of any kind except parrots on this island."""" All are the words of the Admiral.","10","51.5","WSW"
1492-10-13,"13","OCTOBER","1492","""""At dawn many of these men came to the shore, all young men as I have said and all of good height, a very handsome people. Their hair is not curly but hanging and coarse like horsehair, and all the forehead and head is very wide, more than any other race seen until now, and their eyes are very handsome and not small. And none of them are blackish hut the colour of the inhabitants of the Canaries nor should anything else be expected since this place is on a line east and west with the island of Hierro in the Canaries. Their legs are in general very straight and they are not corpulent, but very well formed. They came to the ship with canoes, which are made from the trunk of a tree, like a long boat and all in one piece, and very wonderfully fashioned for the country, and large enough so that 40 or 45 men came In some of them, and others were smaller, some so small that only one man came in them. They rowed with a paddle {como de fornero} and go wonderfully well; and if they upset, then they all commence to swim and bail them out with gourds, which they carry. They brought balls of spun cotton and parrots and spears and other small things which it would be tedious to write about, and gave everything for whatever might be given them. And I was attentive and sought to learn whether they had gold and I saw that some of them wore a small piece suspended from a hole they have in the nose: and I was able to understand by signs that, going to the south or going around the island to the south, there was a King who had large vessels of gold and who had a great deal of it. I tried to have them go there and afterward saw that they were not interested in going. I determined to wait until afternoon of the next day and then leave for the south-west, for according to what many of them showed me, they said that there was land to the south and to tile south-west and to the north-west: and that these people from the north-west came to fight them many times and thus to go to the south-west in search of gold and precious stones. This island is very large and very level and has very green trees and many waters and a very large lake in the centre, without any mountain, and all so green that it is a pleasure to behold it. The people are very mild and on account of desiring our things, believing that they will not be given them without they give something, and they have nothing,--they take what they can. and then throw themselves into the water and swim. But they give all they have for whatever thing may be given them. They traded for even pieces of pitchers and broken glasses so that I saw 16 balls of cotton given for three ceotis of Portugal which are worth one blanca of Castile, and in the balls there would be more than an arroba of spun cotton. I forbade this and would not allow anything to be taken unless I should order everything taken for your Highnesses if there is a quantity. It cotton grows here on this island, but on account of brevity of time I could not give an account of everything: and also the gold which they wear hanging at the nose is found here. But in order not to lose time I wish to go and see it I can encounter the island of Cipango. Now, as it was night, all went to land with their canoes.","10",NA,NA
1492-10-14,"14","OCTOBER","1492","""""At dawn, I ordered the ship's small boat prepared and the boats belonging to the caravels and went along the island toward the north-north-east to see the other part of it, which was the opposite part from the east and also to see the villages: and I saw then two or three, and the people all came to the shore calling us and giving thanks to God; some brought us water, others brought other things to eat. Others when they saw that I did not care to land threw themselves into the sea and came swimming and we understood that they asked us if we came from heaven. An old man came in to the boat and the others called loudly to all the men and women: Come and see the men who came from heaven: bring them something to eat and drink. Many came and many women, each one with something, giving thinks to God, throwing themselves on the ground and lifting their hands toward heaven, and afterwards they called loudly to us to go to land; but I was afraid because of seeing a great reef of rocks which encircles all that island and the water is deep within and forms a port for as many ships as there are in Christendom: and the entrance to it is very tortuous. It is true there are some shoals in it, but the sea does not move any more than in a well. And I went this morning in order to see all this, that I might be able to give an account of everything to your Highnesses and also to see where I might be able to build a fortress, and I saw a piece of land formed like an island, although it is not one, on which there were six houses, but which could be made an island in two days. Although I do not believe it to be necessary, because this people are very simple in matters of arms, as your Highnesses will see by the seven which I took captive to be carried along and learn our speech and then be returned to their country. But when your Highnesses order it, all can be taken, and carried to Castile or held captives on the island itself, because with 50 men all can be subjugated and made to do everything which is desired. Then, near the said small island, there were orchards of trees, the most beautiful that I saw, and as green and with leaves like those of Castile in the months of April and May, and there was much water. I saw all that harbour and afterward I returned to the ship and made sail and saw so many islands that I could not decide which to visit first, and those men whom I had taken, told me by signs, that there were many, and so many that they could not be numbered, and they enumerated by their names more than one hundred. Therefore I looked for the largest and determined to go to it, and this I am doing. It may be five leagues distant from this island of San Salvador, and some of the others are farther from it, some not as far. All are very level without mountains and very fertile and all inhabited, and the inhabitants make war against each other although they are very simple and fine looking men.""""","10",NA,NA
