year,state,code,christianity_protestant,christianity_romancatholic,christianity_easternorthodox,christianity_anglican,christianity_other,christianity_all,judaism_orthodox,judaism_conservative,judaism_reform,judaism_other,judaism_all,islam_sunni,islam_shi’a,islam_ibadhi,islam_nationofislam,islam_alawite,islam_ahmadiyya,islam_other,islam_all,buddhism_mahayana,buddhism_theravada,buddhism_other,buddhism_all,zoroastrianism_all,hinduism_all,sikhism_all,shinto_all,baha’i_all,taoism_all,jainism_all,confucianism_all,syncretism_all,animism_all,noreligion_all,otherreligion_all,religion_all,population,protestant_percent,romancatholic_percent,easternorthodox_percent,anglican_percent,otherchristianity_percent,christianity_percent,orthodox_percent,conservative_percent,reform_percent,otherjudaism_percent,judaism_percent,sunni_percent,shi’a_percent,ibadhi_percent,nationofislam_percent,alawite_percent,ahmadiyya_percent,otherislam_percent,islam_percent,mahayana_percent,theravada_percent,otherbuddhism_percent,buddhism_percent,zoroastrianism_percent,hinduism_percent,sikhism_percent,shinto_percent,baha’i_percent,taoism_percent,jainism_percent,confucianism_percent,syncretism_percent,animism_percent,noreligion_percent,otherreligion_percent,religion_sumpercent,total_percent,dual_religion,source_code
1995,United States of America,USA,123669458,70308695,6639161,4476661,10500000,215593975,930925,1546282,2156380,625876,5259463,2134332,291045,0,0,0,0,0,2425377,0,0,1608346,1608346,758150,574269,47402,57972,672364,55771,6684,39248,270915,219079,34475517,690468,262064532,262755000,0.4707,0.2676,0.0253,0.017,0.04,0.8205,0.0035,0.0059,0.0082,0.0024,0.02,0.0081,0.0011,0,0,0,0,0,0.0092,0,0,0.0061,0.0061,0.0029,0.0022,0.0002,0.0002,0.0026,0.0002,0,0.0001,0.001,0.0008,0.1312,0.0026,0.9974,0.9998,0,99
2000,United States of America,USA,115298736,75086601,6563244,4618694,18251030,219818305,886845,1473065,2054274,596240,5010424,2249277,306720,0,0,0,0,0,2555997,808358,0,1641211,2449569,1464000,825186,76286,56220,456767,11134,6959,78497,541831,359813,44537120,108892,278248108,278357000,0.4142,0.2697,0.0236,0.0166,0.0656,0.7897,0.0032,0.0053,0.0074,0.0021,0.018,0.0081,0.0011,0,0,0,0,0,0.0092,0.0029,0,0.0059,0.0088,0.0053,0.003,0.0003,0.0002,0.0016,0,0,0.0003,0.0019,0.0013,0.16,0.0004,0.9996,1,0,25
2005,United States of America,USA,117527349,76742245,6800059,4733159,20661993,226464805,979982,1627767,2270015,658858,5536622,2363129,322245,0,0,0,0,0,2685374,858297,0,2824397,3682694,1554443,1311442,269862,60560,456767,11134,79459,86656,672506,1066695,51781800,175181,295720819,295896000,0.3972,0.2594,0.023,0.016,0.0698,0.7654,0.0033,0.0055,0.0077,0.0022,0.0187,0.008,0.0011,0,0,0,0,0,0.0091,0.0029,0,0.0095,0.0124,0.0053,0.0044,0.0009,0.0002,0.0015,0,0.0003,0.0003,0.0023,0.0036,0.175,0.0006,0.9994,1,0,99
2010,United States of America,USA,119755961,78397889,7036875,4847625,23072957,233111307,1051778,1747021,2436322,707127,5942248,2476980,337770,0,0,0,0,0,2814750,908236,0,2502000,3410236,1644887,1797698,406908,156375,482784,11768,83984,91591,803181,1773577,59422500,796206,311953794,312750000,0.3829,0.2507,0.0225,0.0155,0.0738,0.7454,0.0034,0.0056,0.0078,0.0023,0.019,0.0079,0.0011,0,0,0,0,0,0.009,0.0029,0,0.008,0.0109,0.0053,0.0057,0.0013,0.0005,0.0015,0,0.0003,0.0003,0.0026,0.0057,0.19,0.0025,0.9975,1,0,25
1945,Canada,CAN,4002534,5038280,241370,1137777,112000,10531961,35338,61842,26503,53007,176690,0,0,0,0,0,0,0,0,0,0,115066,115066,0,0,5000,0,0,0,0,0,11000,0,0,666938,10839717,11506655,0.3478,0.4379,0.021,0.0989,0.0097,0.9153,0.0031,0.0054,0.0023,0.0046,0.0154,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0.0004,0,0,0,0,0,0.001,0,0,0.058,0.942,1.0001,0,15
1950,Canada,CAN,4098000,6181650,200560,1300614,444655,12225479,35991,62984,26993,53986,179954,0,0,0,0,0,0,2006,2006,0,0,112006,112006,0,2006,10001,0,1000,0,0,0,14973,50003,128304,1011268,12725732,13737000,0.2983,0.45,0.0146,0.0947,0.0324,0.89,0.0026,0.0046,0.002,0.0039,0.0131,0,0,0,0,0,0,0.0001,0.0001,0,0,0.0082,0.0082,0,0.0001,0.0007,0,0.0001,0,0,0,0.0011,0.0036,0.0093,0.0736,0.9264,0.9999,0,7
1955,Canada,CAN,4248720,7338356,314989,1720140,347327,13969532,43432,76006,32574,65148,217160,0,0,0,0,0,0,1003,1003,0,0,446608,446608,0,1003,5000,0,500,0,0,171199,7486,25001,64152,827356,14908644,15736000,0.27,0.4663,0.02,0.1093,0.0221,0.8877,0.0028,0.0048,0.0021,0.0041,0.0138,0,0,0,0,0,0,0.0001,0.0001,0,0,0.0284,0.0284,0,0.0001,0.0003,0,0,0,0,0.0109,0.0005,0.0016,0.0041,0.0526,0.9474,1.0001,0,99
1960,Canada,CAN,4635491,8495062,350000,2439666,250000,16170219,50873,89028,38155,76310,254366,0,0,0,0,0,0,0,0,0,0,781211,781211,0,0,0,0,0,0,0,342398,0,0,0,360806,17548194,17909000,0.2588,0.4743,0.0195,0.1362,0.014,0.9029,0.0028,0.005,0.0021,0.0043,0.0142,0,0,0,0,0,0,0,0,0,0,0.0436,0.0436,0,0,0,0,0,0,0,0.0191,0,0,0,0.0201,0.9799,0.9999,0,12
1965,Canada,CAN,5138863,9051880,429419,2400068,296329,17316559,57330,100327,42997,85995,286649,0,0,0,0,0,0,0,0,0,0,790000,790000,0,0,0,0,0,0,0,376219,0,0,500000,408573,19269427,19678000,0.2611,0.46,0.0218,0.122,0.0151,0.88,0.0029,0.0051,0.0022,0.0044,0.0146,0,0,0,0,0,0,0,0,0,0,0.0401,0.0401,0,0,0,0,0,0,0,0.0191,0,0,0.0254,0.0208,0.9792,1,0,15
1970,Canada,CAN,5750190,10009590,638910,1064850,425940,17889480,57502,100628,43126,86253,287509,0,0,0,0,0,0,41103,41103,0,0,15696,15696,0,19615,19615,0,23640,0,980,407172,29390,11777,713821,1837202,19459798,21297000,0.27,0.47,0.03,0.05,0.02,0.84,0.0027,0.0047,0.002,0.0041,0.0135,0,0,0,0,0,0,0.0019,0.0019,0,0,0.0007,0.0007,0,0.0009,0.0009,0,0.0011,0,0,0.0191,0.0014,0.0006,0.0335,0.0863,0.9137,0.9999,0,7
1975,Canada,CAN,6124060,11633595,347936,1760568,231580,20097739,60739,106293,45554,91109,303695,0,0,0,0,0,0,43385,43385,0,0,16527,16527,0,20659,7230,0,0,30989,0,0,0,12395,2444940,164441,22977559,23142000,0.2646,0.5027,0.015,0.0761,0.01,0.8685,0.0026,0.0046,0.002,0.0039,0.0131,0,0,0,0,0,0,0.0019,0.0019,0,0,0.0007,0.0007,0,0.0009,0.0003,0,0,0.0013,0,0,0,0.0005,0.1056,0.0071,0.9929,0.9999,0,1
1980,Canada,CAN,6792962,11670690,327798,2564522,198410,21554382,61719,108008,46289,92578,308594,158057,17562,0,0,0,0,0,175619,0,0,20847,20847,0,50986,9064,0,0,29458,0,0,0,150692,1959478,256880,24259120,24516000,0.2771,0.476,0.0134,0.1046,0.0081,0.8792,0.0025,0.0044,0.0019,0.0038,0.0126,0.0064,0.0007,0,0,0,0,0,0.0072,0,0,0.0009,0.0009,0,0.0021,0.0004,0,0,0.0012,0,0,0,0.0061,0.0799,0.0105,0.9895,1.0001,0,7
1985,Canada,CAN,7450000,12636160,400000,2600000,210000,23296160,62714,109750,47036,94072,313572,191529,21281,0,0,0,0,0,212810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011269,9190,25833811,25843000,0.2883,0.489,0.0155,0.1006,0.0081,0.9014,0.0024,0.0042,0.0018,0.0036,0.0121,0.0074,0.0008,0,0,0,0,0,0.0082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0778,0.0004,0.9996,0.9999,0,1
1990,Canada,CAN,7936000,12720000,510000,2880000,300000,24346000,70000,122500,52500,105000,350000,225000,25000,0,0,0,0,0,250000,0,0,500000,500000,10200,155000,240000,0,0,280000,0,0,0,9000,1545500,15300,27685700,27701000,0.2865,0.4592,0.0184,0.104,0.0108,0.8789,0.0025,0.0044,0.0019,0.0038,0.0126,0.0081,0.0009,0,0,0,0,0,0.009,0,0,0.018,0.018,0.0004,0.0056,0.0087,0,0,0.0101,0,0,0,0.0003,0.0558,0.0006,0.9994,1,0,7
1995,Canada,CAN,8001536,13399222,550896,2701453,305735,24958842,72376,126658,54282,108564,361880,112500,12500,0,0,0,0,0,125000,0,0,250000,250000,7577,170941,197867,272,9010,141722,0,1230,0,36487,2772795,320377,29033623,29354000,0.2726,0.4565,0.0188,0.092,0.0104,0.8503,0.0025,0.0043,0.0018,0.0037,0.0123,0.0038,0.0004,0,0,0,0,0,0.0043,0,0,0.0085,0.0085,0.0003,0.0058,0.0067,0,0.0003,0.0048,0,0,0,0.0012,0.0945,0.0109,0.9891,0.9999,0,2
2000,Canada,CAN,8067073,14078444,591793,2522907,311470,25571687,74752,130817,56064,112129,373762,252291,28032,0,0,0,0,0,280323,0,0,360000,360000,4955,186882,155735,545,18020,3445,0,2460,0,63975,4000090,125121,31021879,31147000,0.259,0.452,0.019,0.081,0.01,0.821,0.0024,0.0042,0.0018,0.0036,0.012,0.0081,0.0009,0,0,0,0,0,0.009,0,0,0.0116,0.0116,0.0002,0.006,0.005,0,0.0006,0.0001,0,0.0001,0,0.0021,0.1284,0.004,0.996,1.0001,0,26
2005,Canada,CAN,8996090,13649240,589399,2512701,310210,26057640,68246,119430,51184,102369,341229,581400,64600,0,0,0,0,0,646000,0,0,605000,605000,5138,193800,161500,565,18687,3572,0,2551,0,66343,4100000,97975,32202025,32300000,0.2785,0.4226,0.0182,0.0778,0.0096,0.8067,0.0021,0.0037,0.0016,0.0032,0.0106,0.018,0.002,0,0,0,0,0,0.02,0,0,0.0187,0.0187,0.0002,0.006,0.005,0,0.0006,0.0001,0,0.0001,0,0.0021,0.1269,0.003,0.997,1,0,83
2010,Canada,CAN,7929127,14497030,785000,2722447,497500,26431104,68061,119107,51045,102091,340304,600000,70000,0,0,0,0,0,670000,0,0,670000,670000,6130,275000,275000,915,18945,3620,3320,2700,27000,70861,5670000,35101,34464899,34500000,0.2298,0.4202,0.0228,0.0789,0.0144,0.7661,0.002,0.0035,0.0015,0.003,0.0099,0.0174,0.002,0,0,0,0,0,0.0194,0,0,0.0194,0.0194,0.0002,0.008,0.008,0,0.0005,0.0001,0.0001,0.0001,0.0008,0.0021,0.1643,0.001,0.999,1,0,26
1975,Bahamas,BHM,100339,15750,514,48000,0,164603,0,0,0,768,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6421,17208,171792,189000,0.5309,0.0833,0.0027,0.254,0,0.8709,0,0,0,0.0041,0.0041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034,0.091,0.909,1,0,1
1980,Bahamas,BHM,104580,21000,600,48000,0,174180,0,0,0,620,620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3900,6940,24360,185640,210000,0.498,0.1,0.0029,0.2286,0,0.8294,0,0,0,0.003,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0186,0.033,0.116,0.884,1,0,14
1985,Bahamas,BHM,109000,28000,700,48000,0,185700,0,0,0,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7500,38300,193700,232000,0.4698,0.1207,0.003,0.2069,0,0.8004,0,0,0,0.0022,0.0022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0323,0.1651,0.8349,1,0,13
1990,Bahamas,BHM,124600,35475,195,49400,0,209670,0,0,0,400,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,75,0,5225,39130,215870,255000,0.4886,0.1391,0.0008,0.1937,0,0.8222,0,0,0,0.0016,0.0016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0.0003,0,0.0205,0.1535,0.8465,1.0001,0,13
1995,Bahamas,BHM,148938,49688,200,54819,0,253645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30355,253645,284000,0.5244,0.175,0.0007,0.193,0,0.8931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1069,0.8931,1,0,1
2000,Bahamas,BHM,207870,43050,0,46125,0,297045,0,0,0,300,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,1000,8917,146,307354,307500,0.676,0.14,0,0.15,0,0.966,0,0,0,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003,0,0,0,0.0033,0.029,0.0005,0.9995,1.0001,0,83
2005,Bahamas,BHM,219700,45500,0,48750,0,313950,0,0,0,317,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,1056,9425,155,324845,325000,0.676,0.14,0,0.15,0,0.966,0,0,0,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003,0,0,0,0.0032,0.029,0.0005,0.9995,1,0,83
2010,Bahamas,BHM,211798,43863,0,46996,0,302657,0,0,0,305,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,1018,9086,153,313159,313312,0.676,0.14,0,0.15,0,0.966,0,0,0,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003,0,0,0,0.0032,0.029,0.0005,0.9995,1,0,83
1945,Cuba,CUB,185865,4387700,0,0,0,4573565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3944000,0,0,0,8517565,4930000,0.0377,0.89,0,0,0,0.9277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,1.7277,1.7277,1,12
1950,Cuba,CUB,220852,4964000,0,0,0,5184852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4686400,0,0,0,9871252,5858000,0.0377,0.8474,0,0,0,0.8851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,1.6851,1.6851,1,7
1955,Cuba,CUB,242266,5462100,0,0,0,5704366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5140800,0,0,0,10845166,6426000,0.0377,0.85,0,0,0,0.8877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,1.6877,1.6877,1,2
1960,Cuba,CUB,265000,5924000,0,0,0,6189000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5623200,0,0,0,11812200,7029000,0.0377,0.8428,0,0,0,0.8805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,1.6805,1.6805,1,18
1965,Cuba,CUB,265000,5960920,0,0,0,6225920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5920000,0,0,0,12145920,7400000,0.0358,0.8055,0,0,0,0.8413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,1.6413,1.6413,1,1
1970,Cuba,CUB,238062,6119229,2000,12000,11009,6382300,0,0,0,1800,1800,0,0,0,0,0,0,0,0,0,0,5000,5000,0,3000,0,0,500,0,0,0,5982200,0,2100000,0,14474800,8546000,0.0279,0.716,0.0002,0.0014,0.0013,0.7468,0,0,0,0.0002,0.0002,0,0,0,0,0,0,0,0,0,0,0.0006,0.0006,0,0.0004,0,0,0.0001,0,0,0,0.7,0,0.2457,0,1.6938,1.6938,1,7
1975,Cuba,CUB,260000,6219229,2000,12000,11009,6504238,0,0,0,1800,1800,0,0,0,0,0,0,1000,1000,0,0,5000,5000,0,3000,0,0,0,4000,0,0,5982200,0,1935400,0,14436638,8546000,0.0304,0.7277,0.0002,0.0014,0.0013,0.7611,0,0,0,0.0002,0.0002,0,0,0,0,0,0,0.0001,0.0001,0,0,0.0006,0.0006,0,0.0004,0,0,0,0.0005,0,0,0.7,0,0.2265,0,1.6893,1.6894,1,99
1980,Cuba,CUB,437580,6471000,0,13000,0,6921580,0,0,0,2200,2200,0,0,0,0,0,0,0,0,0,0,6000,6000,0,0,0,0,0,0,0,0,6806800,252000,2435400,0,16423980,9724000,0.045,0.6655,0,0.0013,0,0.7118,0,0,0,0.0002,0.0002,0,0,0,0,0,0,0,0,0,0,0.0006,0.0006,0,0,0,0,0,0,0,0,0.7,0.0259,0.2505,0,1.689,1.689,1,7
1985,Cuba,CUB,403920,7151000,0,0,0,7554920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7068600,0,2502000,0,17125520,10098000,0.04,0.7082,0,0,0,0.7482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0.2478,0,1.6959,1.696,1,13
1990,Cuba,CUB,424960,7250000,1450,3800,0,7680210,0,0,0,1000,1000,0,0,0,0,0,0,8000,8000,0,0,6000,6000,0,21000,0,0,800,20000,0,0,6374400,0,2577060,0,16688470,10624000,0.04,0.6824,0.0001,0.0004,0,0.7229,0,0,0,0.0001,0.0001,0,0,0,0,0,0,0.0008,0.0008,0,0,0.0006,0.0006,0,0.002,0,0,0.0001,0.0019,0,0,0.6,0,0.2426,0,1.5708,1.571,1,7
1995,Cuba,CUB,436160,8088000,0,0,0,8524160,0,0,0,1020,1020,0,0,0,0,0,0,8160,8160,0,0,6120,6120,0,21420,0,0,816,20400,0,0,6588000,0,2267812,0,17437908,10980000,0.0397,0.7366,0,0,0,0.7763,0,0,0,0.0001,0.0001,0,0,0,0,0,0,0.0007,0.0007,0,0,0.0006,0.0006,0,0.002,0,0,0.0001,0.0019,0,0,0.6,0,0.2065,0,1.5882,1.5882,1,99
2000,Cuba,CUB,500000,7280650,0,0,320000,8100650,0,0,0,500,500,0,0,0,0,0,0,8500,8500,0,0,0,0,0,0,0,0,0,0,0,0,7840700,0,1680150,0,17630500,11201000,0.0446,0.65,0,0,0.0286,0.7232,0,0,0,0,0,0,0,0,0,0,0,0.0008,0.0008,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0.15,0,1.574,1.574,1,83
2005,Cuba,CUB,562150,6745800,40000,3500,168645,7520095,0,0,0,1200,1200,0,0,0,0,0,0,7200,7200,0,0,0,0,0,11000,0,0,0,21501,0,0,5621500,0,1478532,0,14661028,11243000,0.05,0.6,0.0036,0.0003,0.015,0.6689,0,0,0,0.0001,0.0001,0,0,0,0,0,0,0.0006,0.0006,0,0,0,0,0,0.001,0,0,0,0.0019,0,0,0.5,0,0.1315,0,1.304,1.304,1,78
2010,Cuba,CUB,550000,6744696,0,0,112411,7407107,0,0,0,1500,1500,0,0,0,0,0,0,8000,8000,0,0,0,0,0,25000,0,0,0,0,0,0,5620580,0,1478290,0,14540477,11241161,0.0489,0.6,0,0,0.01,0.6589,0,0,0,0.0001,0.0001,0,0,0,0,0,0,0.0007,0.0007,0,0,0,0,0,0.0022,0,0,0,0,0,0,0.5,0,0.1315,0,1.2935,1.2934,1,78
1945,Haiti,HAI,310000,2626500,0,0,0,2936500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1545000,0,0,0,4481500,3090000,0.1003,0.85,0,0,0,0.9503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1.4503,1.4503,1,99
1950,Haiti,HAI,310000,2634000,0,0,0,2944000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1548500,0,0,0,4492500,3097000,0.1001,0.8505,0,0,0,0.9506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1.4506,1.4506,1,15
1955,Haiti,HAI,321500,2777000,0,0,0,3098500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1750000,0,0,0,4848500,3500000,0.0919,0.7934,0,0,0,0.8853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1.3853,1.3853,1,99
1960,Haiti,HAI,333000,2920000,0,0,0,3253000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1902000,0,0,0,5155000,3804000,0.0875,0.7676,0,0,0,0.8552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1.3552,1.3552,1,15
1965,Haiti,HAI,344911,3372970,0,25000,0,3742881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2071500,0,0,0,5814381,4143000,0.0833,0.8141,0,0.006,0,0.9034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1.4034,1.4034,1,7
