season,week_num,day_of_week,gametime_local,home_team,away_team,home_score,away_score,OT_flag,arrests,division_game
2014,17,Sunday,1:00:00 PM,Baltimore,Cleveland,20,10,,0,y
2015,3,Sunday,1:02:00 PM,Baltimore,Cincinnati,24,28,,0,y
2015,5,Sunday,1:02:00 PM,Baltimore,Cleveland,30,33,OT,3,y
2015,8,Sunday,1:02:00 PM,Baltimore,San Diego,29,26,,0,n
2015,10,Sunday,1:05:00 PM,Baltimore,Jacksonville,20,22,,6,n
2015,11,Sunday,1:02:00 PM,Baltimore,St. Louis,16,13,,0,n
2015,14,Sunday,1:00:00 PM,Baltimore,Seattle,6,35,,0,n
2015,15,Sunday,1:00:00 PM,Baltimore,Kansas City,14,34,,0,n
2015,16,Sunday,1:00:00 PM,Baltimore,Pittsburgh,20,17,,4,y
2011,2,Sunday,1:00:00 PM,Carolina,Green Bay,23,30,,0,n
2011,3,Sunday,1:00:00 PM,Carolina,Jacksonville,16,10,,0,n
2011,5,Sunday,1:00:00 PM,Carolina,New Orleans,27,30,,0,y
2011,7,Sunday,1:00:00 PM,Carolina,Washington,33,20,,0,n
2011,8,Sunday,1:00:00 PM,Carolina,Minnesota,21,24,,0,n
2011,10,Sunday,1:00:00 PM,Carolina,Tennessee,3,30,,0,n
2011,14,Sunday,1:00:00 PM,Carolina,Atlanta,23,31,,2,y
2011,16,Saturday,1:00:00 PM,Carolina,Tampa Bay,48,16,,0,y
2012,2,Sunday,1:00:00 PM,Carolina,New Orleans,35,27,,1,y
2012,3,Thursday,8:20:00 PM,Carolina,New York Giants,7,36,,1,n
2012,5,Sunday,4:05:00 PM,Carolina,Seattle,12,16,,1,n
2012,7,Sunday,1:00:00 PM,Carolina,Dallas,14,19,,4,n
2012,10,Sunday,1:00:00 PM,Carolina,Denver,14,36,,1,n
2012,11,Sunday,1:00:00 PM,Carolina,Tampa Bay,21,27,OT,0,y
2012,14,Sunday,1:00:00 PM,Carolina,Atlanta,30,20,,0,y
2012,16,Sunday,1:00:00 PM,Carolina,Oakland,17,6,,1,n
2013,1,Sunday,1:00:00 PM,Carolina,Seattle,7,12,,1,n
2013,3,Sunday,1:00:00 PM,Carolina,New York Giants,38,0,,5,n
2013,7,Sunday,1:00:00 PM,Carolina,St. Louis,30,15,,1,n
2013,9,Sunday,1:00:00 PM,Carolina,Atlanta,34,10,,3,y
2013,11,Monday,8:40:00 PM,Carolina,New England,24,20,,3,n
2013,13,Sunday,1:00:00 PM,Carolina,Tampa Bay,27,6,,0,y
2013,15,Sunday,4:05:00 PM,Carolina,New York Jets,30,20,,2,n
2013,16,Sunday,1:00:00 PM,Carolina,New Orleans,17,13,,1,y
2014,2,Sunday,1:00:00 PM,Carolina,Detroit,24,7,,1,n
2014,3,Sunday,8:30:00 PM,Carolina,Pittsburgh,19,37,,5,n
2014,5,Sunday,1:00:00 PM,Carolina,Chicago,31,24,,1,n
2014,8,Sunday,1:00:00 PM,Carolina,Seattle,9,13,,2,n
2014,9,Thursday,8:25:00 PM,Carolina,New Orleans,10,28,,1,y
2014,11,Sunday,1:00:00 PM,Carolina,Atlanta,17,19,,0,y
2014,15,Sunday,1:00:00 PM,Carolina,Tampa Bay,19,17,,0,y
2014,16,Sunday,1:00:00 PM,Carolina,Cleveland,17,13,,0,n
2015,2,Sunday,1:00:00 PM,Carolina,Houston,24,17,,0,n
2015,3,Sunday,1:00:00 PM,Carolina,New Orleans,27,22,,0,y
2015,7,Sunday,8:30:00 PM,Carolina,Philadelphia,27,16,,4,n
2015,8,Monday,8:30:00 PM,Carolina,Indianapolis,29,26,OT,6,n
2015,9,Sunday,1:00:00 PM,Carolina,Green Bay,37,29,,2,n
2015,11,Sunday,1:00:00 PM,Carolina,Washington,33,14,,3,n
2015,14,Sunday,1:00:00 PM,Carolina,Atlanta,38,0,,0,y
2015,17,Sunday,4:25:00 PM,Carolina,Tampa Bay,38,10,,3,y
2011,1,Sunday,12:00:00 PM,Chicago,Atlanta,30,12,,1,n
2011,3,Sunday,3:25:00 PM,Chicago,Green Bay,17,27,,0,y
2011,4,Sunday,12:00:00 PM,Chicago,Carolina,34,29,,1,n
2011,6,Sunday,7:20:00 PM,Chicago,Minnesota,39,10,,0,y
2011,10,Sunday,3:15:00 PM,Chicago,Detroit,37,13,,0,y
2011,11,Sunday,3:15:00 PM,Chicago,San Diego,31,20,,0,n
2011,13,Sunday,12:00:00 PM,Chicago,Kansas City,3,10,,0,n
2011,15,Sunday,12:00:00 PM,Chicago,Seattle,14,38,,1,n
2012,1,Sunday,12:00:00 PM,Chicago,Indianapolis,41,21,,0,n
2012,3,Sunday,12:00:00 PM,Chicago,St. Louis,23,6,,1,n
2012,7,Monday,7:30:00 PM,Chicago,Detroit,13,7,,1,y
2012,8,Sunday,12:00:00 PM,Chicago,Carolina,23,22,,0,n
2012,10,Sunday,7:20:00 PM,Chicago,Houston,6,13,,3,n
2012,12,Sunday,12:00:00 PM,Chicago,Minnesota,28,10,,1,y
2012,13,Sunday,12:00:00 PM,Chicago,Seattle,17,23,OT,0,n
2012,15,Sunday,12:00:00 PM,Chicago,Green Bay,13,21,,2,y
2013,1,Sunday,12:00:00 PM,Chicago,Cincinnati,24,21,,0,n
2013,2,Sunday,12:00:00 PM,Chicago,Minnesota,31,30,,0,y
2013,5,Sunday,12:00:00 PM,Chicago,New Orleans,18,26,,0,n
2013,6,Thursday,7:25:00 PM,Chicago,New York Giants,27,21,,2,n
2013,10,Sunday,12:00:00 PM,Chicago,Detroit,19,21,,0,y
2013,11,Sunday,12:00:00 PM,Chicago,Baltimore,23,10,OT,2,n
2013,14,Monday,7:40:00 PM,Chicago,Dallas,45,28,,1,n
2013,17,Sunday,3:25:00 PM,Chicago,Green Bay,28,33,,2,y
2014,1,Sunday,12:00:00 PM,Chicago,Buffalo,20,23,OT,1,n
2014,4,Sunday,12:00:00 PM,Chicago,Green Bay,17,38,,1,y
2014,7,Sunday,12:00:00 PM,Chicago,Miami,14,27,,0,n
2014,11,Sunday,12:00:00 PM,Chicago,Minnesota,21,13,,2,y
2014,12,Sunday,12:00:00 PM,Chicago,Tampa Bay,21,13,,1,n
2014,14,Thursday,7:25:00 PM,Chicago,Dallas,28,41,,0,n
2014,15,Monday,7:30:00 PM,Chicago,New Orleans,15,31,,2,n
2014,16,Sunday,12:00:00 PM,Chicago,Detroit,14,20,,1,y
2011,3,Sunday,1:02:00 PM,Cincinnati,San Francisco,8,13,,3,n
2011,4,Sunday,1:03:00 PM,Cincinnati,Buffalo,23,20,,0,n
2011,6,Sunday,1:02:00 PM,Cincinnati,Indianapolis,27,17,,1,n
2011,10,Sunday,1:02:00 PM,Cincinnati,Pittsburgh,17,24,,2,y
2011,12,Sunday,1:02:00 PM,Cincinnati,Cleveland,23,20,,3,y
2011,14,Sunday,1:02:00 PM,Cincinnati,Houston,19,20,,0,n
2011,16,Sunday,1:02:00 PM,Cincinnati,Arizona,23,16,,0,n
2011,17,Sunday,4:16:00 PM,Cincinnati,Baltimore,16,24,,0,y
2012,2,Sunday,1:00:00 PM,Cincinnati,Cleveland,34,27,,3,y
2012,5,Sunday,1:00:00 PM,Cincinnati,Miami,13,17,,0,n
2012,7,Sunday,8:20:00 PM,Cincinnati,Pittsburgh,17,24,,0,y
2012,9,Sunday,1:00:00 PM,Cincinnati,Denver,23,31,,2,n
2012,10,Sunday,1:00:00 PM,Cincinnati,New York Giants,31,13,,4,n
2012,12,Sunday,1:00:00 PM,Cincinnati,Oakland,34,10,,3,n
2012,14,Sunday,1:00:00 PM,Cincinnati,Dallas,19,20,,3,n
2012,17,Sunday,1:00:00 PM,Cincinnati,Baltimore,23,17,,1,y
2013,2,Monday,8:40:00 PM,Cincinnati,Pittsburgh,20,10,,3,y
2013,3,Sunday,1:00:00 PM,Cincinnati,Green Bay,34,30,,1,n
2013,5,Sunday,1:00:00 PM,Cincinnati,New England,13,6,,0,n
2013,8,Sunday,4:05:00 PM,Cincinnati,New York Jets,49,9,,1,n
2013,11,Sunday,1:00:00 PM,Cincinnati,Cleveland,41,20,,0,y
2013,14,Sunday,1:00:00 PM,Cincinnati,Indianapolis,42,28,,1,n
2013,16,Sunday,1:00:00 PM,Cincinnati,Minnesota,42,14,,0,n
2013,17,Sunday,1:00:00 PM,Cincinnati,Baltimore,34,17,,0,y
2014,2,Sunday,1:00:00 PM,Cincinnati,Atlanta,24,10,,4,n
2014,3,Sunday,1:00:00 PM,Cincinnati,Tennessee,33,7,,0,n
2014,6,Sunday,1:00:00 PM,Cincinnati,Carolina,37,37,OT,1,n
2014,8,Sunday,1:00:00 PM,Cincinnati,Baltimore,27,24,,1,y
2014,9,Sunday,1:00:00 PM,Cincinnati,Jacksonville,33,23,,1,n
2014,10,Thursday,8:25:00 PM,Cincinnati,Cleveland,3,24,,10,y
2014,14,Sunday,1:00:00 PM,Cincinnati,Pittsburgh,21,42,,6,y
2014,16,Monday,8:30:00 PM,Cincinnati,Denver,37,28,,0,n
2015,2,Sunday,1:00:00 PM,Cincinnati,San Diego,24,19,,1,n
2015,4,Sunday,1:00:00 PM,Cincinnati,Kansas City,36,21,,1,n
2015,5,Sunday,1:00:00 PM,Cincinnati,Seattle,27,24,,1,n
2015,9,Thursday,8:25:00 PM,Cincinnati,Cleveland,31,10,,0,y
2015,10,Monday,8:30:00 PM,Cincinnati,Houston,6,10,,0,n
2015,12,Sunday,1:00:00 PM,Cincinnati,St. Louis,31,7,,0,n
2015,14,Sunday,1:00:00 PM,Cincinnati,Pittsburgh,20,33,,0,y
2015,17,Sunday,1:00:00 PM,Cincinnati,Baltimore,24,16,,0,y
2011,3,Monday,7:30:00 PM,Dallas,Washington,18,16,,1,y
2011,4,Sunday,12:00:00 PM,Dallas,Detroit,30,34,,1,n
2011,7,Sunday,3:15:00 PM,Dallas,St. Louis,34,7,,0,n
2011,9,Sunday,12:00:00 PM,Dallas,Seattle,23,13,,1,n
2011,10,Sunday,12:00:00 PM,Dallas,Buffalo,44,7,,2,n
2011,12,Thursday,3:15:00 PM,Dallas,Miami,20,19,,0,n
2011,14,Sunday,7:20:00 PM,Dallas,New York Giants,34,37,,0,y
2011,16,Saturday,3:15:00 PM,Dallas,Philadelphia,7,20,,0,y
2012,3,Sunday,12:00:00 PM,Dallas,Tampa Bay,16,10,,4,n
2012,4,Monday,7:30:00 PM,Dallas,Chicago,18,34,,6,n
2012,8,Sunday,3:25:00 PM,Dallas,New York Giants,24,29,,15,y
2012,11,Sunday,12:00:00 PM,Dallas,Cleveland,23,20,OT,0,n
2012,12,Thursday,3:25:00 PM,Dallas,Washington,31,38,,5,y
2012,13,Sunday,7:20:00 PM,Dallas,Philadelphia,38,33,,15,y
2012,15,Sunday,3:25:00 PM,Dallas,Pittsburgh,27,24,OT,13,n
2012,16,Sunday,12:00:00 PM,Dallas,New Orleans,31,34,OT,0,n
2013,1,Sunday,7:20:00 PM,Dallas,New York Giants,36,31,,9,y
2013,3,Sunday,12:00:00 PM,Dallas,St. Louis,31,7,,0,n
2013,5,Sunday,3:25:00 PM,Dallas,Denver,48,51,,0,n
2013,6,Sunday,7:20:00 PM,Dallas,Washington,31,16,,0,y
2013,9,Sunday,12:00:00 PM,Dallas,Minnesota,27,23,,1,n
2013,13,Thursday,3:30:00 PM,Dallas,Oakland,31,24,,8,n
2013,15,Sunday,3:25:00 PM,Dallas,Green Bay,36,37,,5,n
2013,17,Sunday,7:30:00 PM,Dallas,Philadelphia,22,24,,9,y
2014,1,Sunday,3:25:00 PM,Dallas,San Francisco,17,28,,2,n
2014,4,Sunday,7:30:00 PM,Dallas,New Orleans,38,17,,7,n
2014,5,Sunday,12:00:00 PM,Dallas,Houston,20,17,OT,7,n
2014,7,Sunday,3:25:00 PM,Dallas,New York Giants,31,21,,3,y
2014,8,Monday,7:30:00 PM,Dallas,Washington,17,20,OT,3,y
2014,9,Sunday,12:00:00 PM,Dallas,Arizona,17,28,,2,n
2014,13,Thursday,3:30:00 PM,Dallas,Philadelphia,10,33,,0,y
2014,16,Sunday,3:25:00 PM,Dallas,Indianapolis,42,7,,1,n
2015,1,Sunday,7:30:00 PM,Dallas,New York Giants,27,26,,13,y
2015,3,Sunday,12:00:00 PM,Dallas,Atlanta,28,39,,3,n
2015,5,Sunday,3:25:00 PM,Dallas,New England,6,30,,7,n
2015,8,Sunday,3:25:00 PM,Dallas,Seattle,12,13,,8,n
2015,9,Sunday,7:30:00 PM,Dallas,Philadelphia,27,33,OT,8,y
2015,12,Thursday,3:30:00 PM,Dallas,Carolina,14,33,,5,n
2015,15,Saturday,7:25:00 PM,Dallas,New York Jets,16,19,,4,n
2015,17,Sunday,12:00:00 PM,Dallas,Washington,23,34,,1,y
2011,1,Monday,8:15:00 PM,Denver,Oakland,20,23,,2,y
2011,2,Sunday,2:15:00 PM,Denver,Cincinnati,24,22,,0,n
2011,5,Sunday,2:15:00 PM,Denver,San Diego,24,29,,0,y
2011,8,Sunday,2:05:00 PM,Denver,Detroit,10,45,,0,n
2011,11,Thursday,6:20:00 PM,Denver,New York Jets,17,13,,2,n
2011,14,Sunday,2:05:00 PM,Denver,Chicago,13,10,OT,0,n
2011,15,Sunday,2:15:00 PM,Denver,New England,23,41,,0,n
2011,17,Sunday,2:15:00 PM,Denver,Kansas City,3,7,,0,y
2012,1,Sunday,6:20:00 PM,Denver,Pittsburgh,31,19,,4,n
2012,3,Sunday,2:25:00 PM,Denver,Houston,25,31,,1,n
2012,4,Sunday,2:05:00 PM,Denver,Oakland,37,6,,4,y
2012,8,Sunday,6:20:00 PM,Denver,New Orleans,34,14,,0,n
2012,11,Sunday,2:25:00 PM,Denver,San Diego,36,14,,0,y
2012,13,Sunday,2:05:00 PM,Denver,Tampa Bay,31,23,,0,n
2012,16,Sunday,2:05:00 PM,Denver,Cleveland,34,12,,3,n
2012,17,Sunday,2:25:00 PM,Denver,Kansas City,38,3,,0,y
2013,1,Thursday,6:30:00 PM,Denver,Baltimore,49,27,,5,n
2013,3,Monday,6:40:00 PM,Denver,Oakland,37,21,,8,y
2013,4,Sunday,2:25:00 PM,Denver,Philadelphia,52,20,,11,n
2013,6,Sunday,2:05:00 PM,Denver,Jacksonville,35,19,,5,n
2013,8,Sunday,2:25:00 PM,Denver,Washington,45,21,,2,n
2013,11,Sunday,6:30:00 PM,Denver,Kansas City,27,17,,5,y
2013,14,Sunday,2:05:00 PM,Denver,Tennessee,51,28,,1,n
2013,15,Thursday,6:25:00 PM,Denver,San Diego,20,27,,3,y
2014,1,Sunday,6:30:00 PM,Denver,Indianapolis,31,24,,1,n
2014,2,Sunday,2:25:00 PM,Denver,Kansas City,24,17,,1,y
2014,5,Sunday,2:05:00 PM,Denver,Arizona,41,20,,7,n
2014,7,Sunday,6:30:00 PM,Denver,San Francisco,42,17,,6,n
2014,8,Thursday,6:25:00 PM,Denver,San Diego,35,21,,6,y
2014,12,Sunday,2:25:00 PM,Denver,Miami,39,36,,1,n
2014,14,Sunday,2:05:00 PM,Denver,Buffalo,24,17,,4,n
2014,17,Sunday,2:25:00 PM,Denver,Oakland,47,14,,7,y
2015,1,Sunday,2:25:00 PM,Denver,Baltimore,19,13,,3,n
2015,4,Sunday,2:25:00 PM,Denver,Minnesota,23,20,,2,n
2015,8,Sunday,6:30:00 PM,Denver,Green Bay,29,10,,0,n
2015,10,Sunday,2:25:00 PM,Denver,Kansas City,13,29,,4,y
2015,12,Sunday,6:30:00 PM,Denver,New England,30,24,OT,3,n
2015,14,Sunday,2:05:00 PM,Denver,Oakland,12,15,,3,y
2015,16,Monday,6:30:00 PM,Denver,Cincinnati,20,17,OT,1,n
2015,17,Sunday,2:25:00 PM,Denver,San Diego,27,20,,0,y
2011,2,Sunday,1:00:00 PM,Detroit,Kansas City,48,3,,,n
2011,5,Monday,8:30:00 PM,Detroit,Chicago,24,13,,,y
2011,6,Sunday,1:00:00 PM,Detroit,San Francisco,19,25,,,n
2011,7,Sunday,1:00:00 PM,Detroit,Atlanta,16,23,,,n
2011,11,Sunday,1:00:00 PM,Detroit,Carolina,49,35,,,n
2011,12,Thursday,12:30:00 PM,Detroit,Green Bay,15,27,,,y
2011,14,Sunday,1:00:00 PM,Detroit,Minnesota,34,28,,,y
2011,16,Saturday,4:05:00 PM,Detroit,San Diego,38,10,,,n
2012,1,Sunday,1:00:00 PM,Detroit,St. Louis,27,23,,,n
2012,4,Sunday,1:00:00 PM,Detroit,Minnesota,13,20,,,y
2012,8,Sunday,1:00:00 PM,Detroit,Seattle,28,24,,,n
2012,11,Sunday,1:00:00 PM,Detroit,Green Bay,20,24,,,y
2012,12,Thursday,12:30:00 PM,Detroit,Houston,31,34,OT,,n
2012,13,Sunday,1:00:00 PM,Detroit,Indianapolis,33,35,,,n
2012,16,Saturday,8:30:00 PM,Detroit,Atlanta,18,31,,,n
2012,17,Sunday,1:00:00 PM,Detroit,Chicago,24,26,,,y
2013,1,Sunday,1:00:00 PM,Detroit,Minnesota,34,24,,,y
2013,4,Sunday,1:00:00 PM,Detroit,Chicago,40,32,,,y
2013,7,Sunday,1:00:00 PM,Detroit,Cincinnati,24,27,,,n
2013,8,Sunday,1:00:00 PM,Detroit,Dallas,31,30,,,n
2013,12,Sunday,1:00:00 PM,Detroit,Tampa Bay,21,24,,,n
2013,13,Thursday,12:30:00 PM,Detroit,Green Bay,40,10,,,y
2013,15,Monday,8:40:00 PM,Detroit,Baltimore,16,18,,,n
2013,16,Sunday,1:00:00 PM,Detroit,New York Giants,20,23,OT,,n
2014,1,Monday,7:10:00 PM,Detroit,New York Giants,35,14,,,n
2014,3,Sunday,1:00:00 PM,Detroit,Green Bay,19,7,,,y
2014,5,Sunday,1:00:00 PM,Detroit,Buffalo,14,17,,,n
2014,7,Sunday,1:00:00 PM,Detroit,New Orleans,24,23,,,n
2014,10,Sunday,1:00:00 PM,Detroit,Miami,20,16,,,n
2014,13,Thursday,12:30:00 PM,Detroit,Chicago,34,17,,,y
2014,14,Sunday,1:00:00 PM,Detroit,Tampa Bay,34,17,,,n
2014,15,Sunday,4:25:00 PM,Detroit,Minnesota,16,14,,,y
2015,3,Sunday,8:30:00 PM,Detroit,Denver,12,24,,,n
2015,5,Sunday,4:05:00 PM,Detroit,Arizona,17,42,,,n
2015,6,Sunday,1:00:00 PM,Detroit,Chicago,37,34,OT,,y
2015,7,Sunday,1:00:00 PM,Detroit,Minnesota,19,28,,,y
2015,11,Sunday,1:00:00 PM,Detroit,Oakland,18,13,,,n
2015,12,Thursday,12:30:00 PM,Detroit,Philadelphia,45,14,,,n
2015,13,Thursday,8:25:00 PM,Detroit,Green Bay,23,27,,,y
2015,16,Sunday,1:00:00 PM,Detroit,San Francisco,32,17,,,n
2011,1,Thursday,7:30:00 PM,Green Bay,New Orleans,42,34,,8,n
2011,4,Sunday,3:15:00 PM,Green Bay,Denver,49,23,,0,n
2011,6,Sunday,12:00:00 PM,Green Bay,St. Louis,24,3,,3,n
2011,10,Monday,7:30:00 PM,Green Bay,Minnesota,45,7,,6,y
2011,11,Sunday,12:00:00 PM,Green Bay,Tampa Bay,35,26,,1,n
2011,14,Sunday,3:15:00 PM,Green Bay,Oakland,46,16,,4,n
2011,16,Sunday,7:20:00 PM,Green Bay,Chicago,35,21,,21,y
2011,17,Sunday,12:00:00 PM,Green Bay,Detroit,45,41,,3,y
2012,1,Sunday,3:25:00 PM,Green Bay,San Francisco,22,30,,4,n
2012,2,Thursday,7:20:00 PM,Green Bay,Chicago,23,10,,15,y
2012,4,Sunday,3:25:00 PM,Green Bay,New Orleans,28,27,,3,n
2012,8,Sunday,12:00:00 PM,Green Bay,Jacksonville,24,15,,1,n
2012,9,Sunday,12:00:00 PM,Green Bay,Arizona,31,17,,9,n
2012,13,Sunday,12:00:00 PM,Green Bay,Minnesota,23,14,,2,y
2012,14,Sunday,7:20:00 PM,Green Bay,Detroit,27,20,,18,y
2012,16,Sunday,12:00:00 PM,Green Bay,Tennessee,55,7,,9,n
2013,2,Sunday,12:00:00 PM,Green Bay,Washington,38,20,,1,n
2013,5,Sunday,12:00:00 PM,Green Bay,Detroit,22,9,,8,y
2013,7,Sunday,3:25:00 PM,Green Bay,Cleveland,31,13,,6,n
2013,9,Monday,7:40:00 PM,Green Bay,Chicago,20,27,,13,y
2013,10,Sunday,12:00:00 PM,Green Bay,Philadelphia,13,27,,6,n
2013,12,Sunday,12:00:00 PM,Green Bay,Minnesota,26,26,OT,8,y
2013,14,Sunday,12:00:00 PM,Green Bay,Atlanta,22,21,,7,n
2013,16,Sunday,3:25:00 PM,Green Bay,Pittsburgh,31,38,,16,n
2014,2,Sunday,3:25:00 PM,Green Bay,New York Jets,31,24,,8,n
2014,5,Thursday,7:25:00 PM,Green Bay,Minnesota,42,10,,4,y
2014,7,Sunday,12:00:00 PM,Green Bay,Carolina,38,17,,1,n
2014,10,Sunday,7:30:00 PM,Green Bay,Chicago,55,14,,15,y
2014,11,Sunday,3:25:00 PM,Green Bay,Philadelphia,53,20,,3,n
2014,13,Sunday,3:25:00 PM,Green Bay,New England,26,21,,8,n
2014,14,Monday,7:30:00 PM,Green Bay,Atlanta,43,37,,11,n
2014,17,Sunday,3:25:00 PM,Green Bay,Detroit,30,20,,6,y
2015,2,Sunday,7:30:00 PM,Green Bay,Seattle,27,17,,13,n
2015,3,Monday,7:30:00 PM,Green Bay,Kansas City,38,28,,4,n
2015,5,Sunday,12:00:00 PM,Green Bay,St. Louis,24,10,,4,n
2015,6,Sunday,3:25:00 PM,Green Bay,San Diego,27,20,,13,n
2015,10,Sunday,12:00:00 PM,Green Bay,Detroit,16,18,,8,y
2015,12,Thursday,7:30:00 PM,Green Bay,Chicago,13,17,,2,y
2015,14,Sunday,3:25:00 PM,Green Bay,Dallas,28,7,,5,n
2015,17,Sunday,7:30:00 PM,Green Bay,Minnesota,13,20,,11,y
2011,1,Sunday,12:00:00 PM,Houston,Indianapolis,34,7,,2,y
2011,4,Sunday,12:00:00 PM,Houston,Pittsburgh,17,10,,2,n
2011,5,Sunday,12:00:00 PM,Houston,Oakland,20,25,,1,n
2011,8,Sunday,12:00:00 PM,Houston,Jacksonville,24,14,,0,y
2011,9,Sunday,12:00:00 PM,Houston,Cleveland,30,12,,0,n
2011,13,Sunday,12:00:00 PM,Houston,Atlanta,17,10,,2,n
2011,15,Sunday,12:00:00 PM,Houston,Carolina,13,28,,2,n
2011,17,Sunday,12:00:00 PM,Houston,Tennessee,22,23,,0,y
2012,1,Sunday,12:00:00 PM,Houston,Miami,30,10,,6,n
2012,4,Sunday,12:00:00 PM,Houston,Tennessee,38,14,,1,y
2012,6,Sunday,6:20:00 PM,Houston,Green Bay,24,42,,4,n
2012,7,Sunday,12:00:00 PM,Houston,Baltimore,43,13,,1,n
2012,9,Sunday,12:00:00 PM,Houston,Buffalo,21,9,,1,n
